"size_iter","samples","cm","acc","auc","iter"
1,54,"l2",0.87037037037037,1,NA
1,54,"l1",0.962962962962963,0.997113997113997,NA
1,54,"svmsig",0.962962962962963,0.998556998556999,NA
1,54,"svmrad",0.962962962962963,0.998556998556999,NA
1,54,"rf",1,1,NA
1,54,"l2",0.636363636363636,0.714285714285714,1
1,54,"l1",0.636363636363636,0.5,1
1,54,"svmsig",0.727272727272727,0.678571428571429,1
1,54,"svmrad",0.727272727272727,0.678571428571429,1
1,54,"rf",0.727272727272727,0.714285714285714,1
1,54,"l2",0.636363636363636,0.428571428571429,2
1,54,"l1",0.545454545454545,0.392857142857143,2
1,54,"svmsig",0.636363636363636,0.357142857142857,2
1,54,"svmrad",0.636363636363636,0.357142857142857,2
1,54,"rf",0.454545454545455,0.178571428571429,2
1,54,"l2",0.6,0.541666666666667,3
1,54,"l1",0.7,0.666666666666667,3
1,54,"svmsig",0.4,0.625,3
1,54,"svmrad",0.4,0.625,3
1,54,"rf",0.4,0.5,3
1,54,"l2",0.583333333333333,0.5,4
1,54,"l1",0.583333333333333,0.5,4
1,54,"svmsig",0.583333333333333,0.771428571428571,4
1,54,"svmrad",0.583333333333333,0.771428571428571,4
1,54,"rf",0.666666666666667,0.885714285714286,4
1,54,"l2",0.6,0.5,5
1,54,"l1",0.6,0.5,5
1,54,"svmsig",0.6,0.458333333333333,5
1,54,"svmrad",0.6,0.458333333333333,5
1,54,"rf",0.5,0.416666666666667,5
1,54,"l2",0.636363636363636,0.714285714285714,6
1,54,"l1",0.545454545454545,0.214285714285714,6
1,54,"svmsig",0.636363636363636,0.785714285714286,6
1,54,"svmrad",0.636363636363636,0.785714285714286,6
1,54,"rf",0.545454545454545,0.571428571428571,6
1,54,"l2",0.636363636363636,0.428571428571429,7
1,54,"l1",0.636363636363636,0.642857142857143,7
1,54,"svmsig",0.636363636363636,0.392857142857143,7
1,54,"svmrad",0.636363636363636,0.392857142857143,7
1,54,"rf",0.636363636363636,0.464285714285714,7
1,54,"l2",0.636363636363636,0.75,8
1,54,"l1",0.636363636363636,0.5,8
1,54,"svmsig",0.818181818181818,0.785714285714286,8
1,54,"svmrad",0.818181818181818,0.785714285714286,8
1,54,"rf",0.545454545454545,0.553571428571429,8
1,54,"l2",0.545454545454545,0.6,9
1,54,"l1",0.545454545454545,0.5,9
