"cm","iter","acc","auc"
"svmrad","30",0.666666666666667,0.650375939849624
"rf","30",0.606060606060606,0.571428571428572
"l2","31",0.545454545454545,0.496240601503759
"l1","31",0.424242424242424,0.488721804511278
"svmsig","31",0.515151515151515,0.503759398496241
"svmrad","31",0.545454545454545,0.503759398496241
"rf","31",0.454545454545455,0.468045112781955
"l2","32",0.515151515151515,0.462406015037594
"l1","32",0.575757575757576,0.5
"svmsig","32",0.545454545454545,0.473684210526316
"svmrad","32",0.484848484848485,0.473684210526316
"rf","32",0.484848484848485,0.449248120300752
"l2","33",0.5625,0.634920634920635
"l1","33",0.5625,0.5
"svmsig","33",0.5625,0.587301587301587
"svmrad","33",0.5625,0.587301587301587
"rf","33",0.5625,0.53968253968254
"l2","34",0.575757575757576,0.635338345864662
"l1","34",0.575757575757576,0.5
"svmsig","34",0.606060606060606,0.616541353383459
"svmrad","34",0.666666666666667,0.616541353383459
"rf","34",0.575757575757576,0.629699248120301
"l2","35",0.575757575757576,0.695488721804511
"l1","35",0.575757575757576,0.5
"svmsig","35",0.575757575757576,0.646616541353383
"svmrad","35",0.606060606060606,0.646616541353383
"rf","35",0.606060606060606,0.667293233082707
"l2","36",0.59375,0.76984126984127
"l1","36",0.5625,0.5
"svmsig","36",0.65625,0.781746031746032
"svmrad","36",0.65625,0.781746031746032
"rf","36",0.53125,0.626984126984127
"l2","37",0.484848484848485,0.552631578947368
"l1","37",0.484848484848485,0.518796992481203
"svmsig","37",0.484848484848485,0.533834586466166
"svmrad","37",0.484848484848485,0.533834586466166
"rf","37",0.545454545454545,0.43984962406015
"l2","38",0.575757575757576,0.5
"l1","38",0.575757575757576,0.5
"svmsig","38",0.666666666666667,0.695488721804511
"svmrad","38",0.636363636363636,0.695488721804511
"rf","38",0.545454545454545,0.684210526315789
"l2","39",0.545454545454545,0.458646616541353
"l1","39",0.575757575757576,0.5
"svmsig","39",0.515151515151515,0.488721804511278
"svmrad","39",0.515151515151515,0.488721804511278
"rf","39",0.484848484848485,0.528195488721805
"l2","40",0.575757575757576,0.518796992481203
"l1","40",0.393939393939394,0.424812030075188
"svmsig","40",0.545454545454545,0.511278195488722
"svmrad","40",0.575757575757576,0.511278195488722
"rf","40",0.424242424242424,0.379699248120301
"l2","41",0.606060606060606,0.56390977443609
"l1","41",0.575757575757576,0.5
"svmsig","41",0.696969696969697,0.650375939849624
"svmrad","41",0.575757575757576,0.650375939849624
"rf","41",0.515151515151515,0.471804511278196
"l2","42",0.59375,0.507936507936508
"l1","42",0.46875,0.436507936507937
"svmsig","42",0.5625,0.507936507936508
"svmrad","42",0.5625,0.507936507936508
"rf","42",0.53125,0.507936507936508
"l2","43",0.575757575757576,0.432330827067669
"l1","43",0.363636363636364,0.447368421052632
"svmsig","43",0.575757575757576,0.466165413533835
"svmrad","43",0.575757575757576,0.466165413533835
"rf","43",0.484848484848485,0.421052631578947
"l2","44",0.575757575757576,0.631578947368421
"l1","44",0.575757575757576,0.5
"svmsig","44",0.606060606060606,0.62406015037594
"svmrad","44",0.606060606060606,0.62406015037594
"rf","44",0.515151515151515,0.50187969924812
"l2","45",0.575757575757576,0.578947368421053
"l1","45",0.575757575757576,0.5
"svmsig","45",0.545454545454545,0.481203007518797
"svmrad","45",0.575757575757576,0.481203007518797
"rf","45",0.575757575757576,0.597744360902256
"l2","46",0.575757575757576,0.5
"l1","46",0.575757575757576,0.5
"svmsig","46",0.575757575757576,0.725563909774436
"svmrad","46",0.575757575757576,0.725563909774436
"rf","46",0.575757575757576,0.599624060150376
"l2","47",0.5625,0.5
"l1","47",0.5625,0.5
"svmsig","47",0.625,0.507936507936508
"svmrad","47",0.625,0.507936507936508
"rf","47",0.53125,0.581349206349206
"l2","48",0.545454545454545,0.669172932330827
"l1","48",0.575757575757576,0.5
"svmsig","48",0.666666666666667,0.680451127819549
"svmrad","48",0.606060606060606,0.680451127819549
"rf","48",0.545454545454545,0.644736842105263
"l2","49",0.575757575757576,0.364661654135338
"l1","49",0.575757575757576,0.5
"svmsig","49",0.454545454545455,0.383458646616541
"svmrad","49",0.484848484848485,0.383458646616541
"rf","49",0.484848484848485,0.445488721804511
"l2","50",0.575757575757576,0.556390977443609
"l1","50",0.575757575757576,0.5
"svmsig","50",0.636363636363636,0.661654135338346
"svmrad","50",0.666666666666667,0.661654135338346
"rf","50",0.606060606060606,0.546992481203008
