"cm","iter","acc","auc"
"l2","1",0.636363636363636,0.714285714285714
"l1","1",0.636363636363636,0.5
"svmsig","1",0.727272727272727,0.678571428571429
"svmrad","1",0.727272727272727,0.678571428571429
"rf","1",0.727272727272727,0.714285714285714
"l2","2",0.636363636363636,0.428571428571429
"l1","2",0.545454545454545,0.392857142857143
"svmsig","2",0.636363636363636,0.357142857142857
"svmrad","2",0.636363636363636,0.357142857142857
"rf","2",0.454545454545455,0.178571428571429
"l2","3",0.6,0.541666666666667
"l1","3",0.7,0.666666666666667
"svmsig","3",0.5,0.625
"svmrad","3",0.4,0.625
"rf","3",0.4,0.5
"l2","4",0.583333333333333,0.5
"l1","4",0.583333333333333,0.5
"svmsig","4",0.75,0.771428571428571
"svmrad","4",0.583333333333333,0.228571428571429
"rf","4",0.666666666666667,0.885714285714286
"l2","5",0.6,0.5
"l1","5",0.6,0.5
"svmsig","5",0.6,0.458333333333333
"svmrad","5",0.5,0.458333333333333
"rf","5",0.5,0.416666666666667
"l2","6",0.636363636363636,0.714285714285714
"l1","6",0.545454545454545,0.214285714285714
"svmsig","6",0.636363636363636,0.785714285714286
"svmrad","6",0.636363636363636,0.785714285714286
"rf","6",0.545454545454545,0.571428571428571
"l2","7",0.636363636363636,0.428571428571429
"l1","7",0.636363636363636,0.642857142857143
"svmsig","7",0.636363636363636,0.392857142857143
"svmrad","7",0.636363636363636,0.392857142857143
"rf","7",0.636363636363636,0.464285714285714
"l2","8",0.636363636363636,0.75
"l1","8",0.636363636363636,0.5
"svmsig","8",0.818181818181818,0.785714285714286
"svmrad","8",0.818181818181818,0.785714285714286
"rf","8",0.545454545454545,0.553571428571429
"l2","9",0.545454545454545,0.6
"l1","9",0.545454545454545,0.5
"svmsig","9",0.545454545454545,0.533333333333333
"svmrad","9",0.545454545454545,0.533333333333333
"rf","9",0.454545454545455,0.566666666666667
"l2","10",0.6,0.791666666666667
"l1","10",0.6,0.5
"svmsig","10",0.8,0.875
"svmrad","10",0.6,0.875
"rf","10",0.8,0.791666666666667
"l2","11",0.583333333333333,0.714285714285714
"l1","11",0.416666666666667,0.657142857142857
"svmsig","11",0.75,0.771428571428571
"svmrad","11",0.75,0.771428571428571
"rf","11",0.666666666666667,0.557142857142857
"l2","12",0.6,0.625
"l1","12",0.7,0.833333333333333
"svmsig","12",0.5,0.583333333333333
"svmrad","12",0.5,0.583333333333333
"rf","12",0.6,0.583333333333333
"l2","13",0.7,0.708333333333333
"l1","13",0.7,0.5
"svmsig","13",0.6,0.791666666666667
"svmrad","13",0.6,0.791666666666667
"rf","13",0.8,0.708333333333333
"l2","14",0.636363636363636,0.714285714285714
"l1","14",0.636363636363636,0.714285714285714
"svmsig","14",0.545454545454545,0.607142857142857
"svmrad","14",0.545454545454545,0.607142857142857
"rf","14",0.636363636363636,0.607142857142857
"l2","15",0.727272727272727,0.678571428571429
"l1","15",0.727272727272727,0.678571428571429
"svmsig","15",0.727272727272727,0.571428571428571
"svmrad","15",0.727272727272727,0.571428571428571
"rf","15",0.727272727272727,0.821428571428571
"l2","16",0.636363636363636,0.5
"l1","16",0.636363636363636,0.285714285714286
"svmsig","16",0.636363636363636,0.607142857142857
"svmrad","16",0.545454545454545,0.607142857142857
"rf","16",0.818181818181818,0.785714285714286
"l2","17",0.6,0.5
"l1","17",0.6,0.5
"svmsig","17",0.6,0.416666666666667
"svmrad","17",0.6,0.416666666666667
"rf","17",0.6,0.479166666666667
"l2","18",0.6,0.5
"l1","18",0.6,0.5
"svmsig","18",0.8,0.916666666666667
"svmrad","18",0.6,0.916666666666667
"rf","18",0.8,0.833333333333333
"l2","19",0.636363636363636,0.642857142857143
"l1","19",0.636363636363636,0.714285714285714
"svmsig","19",0.636363636363636,0.75
"svmrad","19",0.636363636363636,0.75
"rf","19",0.727272727272727,0.678571428571429
"l2","20",0.583333333333333,0.6
"l1","20",0.75,0.8
"svmsig","20",0.5,0.628571428571429
"svmrad","20",0.5,0.628571428571429
"rf","20",0.666666666666667,0.8
"l2","21",0.636363636363636,0.714285714285714
"l1","21",0.636363636363636,0.75
"svmsig","21",0.727272727272727,0.678571428571429
"svmrad","21",0.818181818181818,0.678571428571429
"rf","21",0.727272727272727,0.75
"l2","22",0.454545454545455,0.607142857142857
"l1","22",0.727272727272727,0.607142857142857
"svmsig","22",0.545454545454545,0.642857142857143
"svmrad","22",0.545454545454545,0.642857142857143
"rf","22",0.545454545454545,0.785714285714286
"l2","23",0.636363636363636,0.928571428571428
"l1","23",0.636363636363636,0.785714285714286
"svmsig","23",0.818181818181818,0.892857142857143
"svmrad","23",0.727272727272727,0.892857142857143
"rf","23",0.727272727272727,0.785714285714286
"l2","24",0.6,0.833333333333333
"l1","24",0.6,0.708333333333333
"svmsig","24",0.7,0.75
"svmrad","24",0.6,0.75
"rf","24",0.7,0.75
"l2","25",0.545454545454545,0.633333333333333
"l1","25",0.545454545454545,0.5
"svmsig","25",0.545454545454545,0.633333333333333
"svmrad","25",0.636363636363636,0.633333333333333
"rf","25",0.545454545454545,0.533333333333333
"l2","26",0.6,0.5
"l1","26",0.6,0.583333333333333
"svmsig","26",0.6,0.625
"svmrad","26",0.6,0.375
"rf","26",0.8,0.583333333333333
"l2","27",0.636363636363636,0.464285714285714
"l1","27",0.636363636363636,0.5
"svmsig","27",0.545454545454545,0.392857142857143
