"size_iter","samples","cm","acc","auc","iter"
1,164,"l2",0.652439024390244,0.946352583586626,NA
1,164,"l1",0.573170731707317,0.5,NA
1,164,"svmsig",0.652439024390244,0.962310030395137,NA
1,164,"svmrad",0.652439024390244,0.962310030395137,NA
1,164,"rf",1,1,NA
1,164,"l2",0.575757575757576,0.5,1
1,164,"l1",0.575757575757576,0.5,1
1,164,"svmsig",0.666666666666667,0.721804511278195,1
1,164,"svmrad",0.666666666666667,0.721804511278195,1
1,164,"rf",0.666666666666667,0.610902255639098,1
1,164,"l2",0.53125,0.575396825396825,2
1,164,"l1",0.5625,0.5,2
1,164,"svmsig",0.5625,0.642857142857143,2
1,164,"svmrad",0.5625,0.642857142857143,2
1,164,"rf",0.53125,0.56547619047619,2
1,164,"l2",0.545454545454545,0.62406015037594,3
1,164,"l1",0.575757575757576,0.5,3
1,164,"svmsig",0.545454545454545,0.609022556390978,3
1,164,"svmrad",0.545454545454545,0.609022556390978,3
1,164,"rf",0.515151515151515,0.575187969924812,3
1,164,"l2",0.545454545454545,0.409774436090226,4
1,164,"l1",0.575757575757576,0.5,4
1,164,"svmsig",0.545454545454545,0.413533834586466,4
1,164,"svmrad",0.545454545454545,0.413533834586466,4
1,164,"rf",0.545454545454545,0.507518796992481,4
1,164,"l2",0.575757575757576,0.5,5
1,164,"l1",0.575757575757576,0.5,5
1,164,"svmsig",0.636363636363636,0.706766917293233,5
1,164,"svmrad",0.636363636363636,0.706766917293233,5
1,164,"rf",0.636363636363636,0.595864661654135,5
1,164,"l2",0.575757575757576,0.5,6
1,164,"l1",0.575757575757576,0.605263157894737,6
1,164,"svmsig",0.666666666666667,0.736842105263158,6
1,164,"svmrad",0.666666666666667,0.736842105263158,6
1,164,"rf",0.484848484848485,0.580827067669173,6
1,164,"l2",0.575757575757576,0.5,7
1,164,"l1",0.575757575757576,0.5,7
1,164,"svmsig",0.606060606060606,0.556390977443609,7
1,164,"svmrad",0.606060606060606,0.556390977443609,7
1,164,"rf",0.454545454545455,0.451127819548872,7
1,164,"l2",0.5625,0.662698412698413,8
1,164,"l1",0.5625,0.5,8
1,164,"svmsig",0.59375,0.591269841269841,8
1,164,"svmrad",0.59375,0.591269841269841,8
1,164,"rf",0.5,0.553571428571428,8
1,164,"l2",0.424242424242424,0.398496240601504,9
1,164,"l1",0.515151515151515,0.402255639097744,9
1,164,"svmsig",0.454545454545455,0.424812030075188,9
1,164,"svmrad",0.454545454545455,0.424812030075188,9
1,164,"rf",0.454545454545455,0.422932330827068,9
1,164,"l2",0.636363636363636,0.56015037593985,10
1,164,"l1",0.575757575757576,0.5,10
1,164,"svmsig",0.606060606060606,0.545112781954887,10
1,164,"svmrad",0.606060606060606,0.545112781954887,10
1,164,"rf",0.575757575757576,0.62406015037594,10
1,164,"l2",0.575757575757576,0.605263157894737,11
1,164,"l1",0.575757575757576,0.5,11
1,164,"svmsig",0.545454545454545,0.650375939849624,11
